Point,Date,Year,Y,X,GREG,WHIB,SWH,SDH,GBHE,GLIB,ROSP,WOST,Veg1,Veg2,Veg3,3 White Total,All Bird Total,Stage
1,2010-01-26,2010,26.7492646,-80.8826159,,,,,,,,,,,,75,75,13.625
2,2010-01-26,2010,26.7528465,-80.8848606,,,,,,,,,,,,210,210,13.625
3,2010-01-26,2010,26.8152817,-80.9494969,,,,,,,,,,,,262,262,13.61
4,2010-01-26,2010,26.8168304,-80.9781102,,,,,,,,,,,,350,350,13.61
5,2010-01-26,2010,26.82565,-81.0289929,,,,,,,,,,,,330,330,13.61
6,2010-01-26,2010,26.82616,-81.0216268,,,,,,,,,,,,255,255,13.61
7,2010-01-26,2010,26.8416788,-81.0381371,,,,,,,,,,,,500,500,13.61
8,2010-01-26,2010,26.8567963,-81.0529006,,,,,,,,,,,,220,220,13.61
9,2010-01-26,2010,26.859258,-81.0273636,,,,,,,,,,,,82,82,13.61
10,2010-01-26,2010,26.860906,-81.017492,,,,,,,,,,,,220,220,13.61
11,2010-01-26,2010,26.8647701,-81.0663811,,,,,,,,,,,,230,230,13.61
12,2010-01-26,2010,26.8717172,-81.0133657,,,,,,,,,,,,140,140,13.61
13,2010-01-26,2010,26.8769865,-81.0723184,,,,,,,,,,,,120,120,13.61
14,2010-01-26,2010,26.8820776,-81.085415,,,,,,,,,,,,1125,1125,13.61
15,2010-01-26,2010,26.8931053,-81.0802652,,,,,,,,,,,,75,75,13.61
16,2010-01-26,2010,26.8980231,-81.0786704,,,,,,,,,,,,88,88,13.61
17,2010-01-26,2010,26.9045737,-81.0833816,,,,,,,,,,,,140,140,13.61
18,2010-01-26,2010,26.930285,-81.0612065,,,,,,,,,,,,227,227,13.61
19,2010-01-26,2010,26.9473595,-81.0864423,,,,,,,,,,,,402,402,13.61
20,2010-02-03,2010,26.6874841,-80.7311122,,,,,,,,,,,,50,50,13.685
21,2010-02-03,2010,26.7055247,-80.8014521,,,,,,,,,,,,250,250,13.685
22,2010-02-03,2010,26.712332,-80.8046714,,,,,,,,,,,,100,100,13.685
23,2010-02-03,2010,26.7238628,-80.7079441,,,,,,,,,,,,50,50,13.685
24,2010-02-03,2010,26.7464972,-80.7204475,,,,,,,,,,,,150,150,13.685
25,2010-02-03,2010,26.7498322,-80.721818,,,,,,,,,,,,150,150,13.685
26,2010-02-03,2010,26.7517757,-80.8830381,,,,,,,,,,,,200,200,13.685
27,2010-02-03,2010,26.7723128,-80.9313513,,,,,,,,,,,,150,150,13.685
28,2010-02-03,2010,26.7793157,-80.9406072,,,,,,,,,,,,100,100,13.685
29,2010-02-03,2010,26.7968433,-80.9371233,,,,,,,,,,,,50,50,13.685
30,2010-02-03,2010,26.7994945,-80.9449204,,,,,,,,,,,,50,50,13.685
31,2010-02-03,2010,26.8157832,-80.9844224,,,,,,,,,,,,150,150,13.7
32,2010-02-03,2010,26.8376924,-81.0432006,,,,,,,,,,,,2000,2000,13.7
33,2010-02-03,2010,26.8390206,-81.0398961,,,,,,,,,,,,300,300,13.7
34,2010-02-03,2010,26.8600067,-81.0698703,,,,,,,,,,,,300,300,13.7
